#h exacta cajas trapecio simpson error_cajas error_trapecio error_simpson
0.2000000000 16.4219061099 16.9516848900 16.4305895845 16.4219118929 0.5297787801 0.0086834746 0.0000057831
0.1000000000 16.4219061099 16.6846249026 16.4240772499 16.4219064716 0.2627187927 0.0021711400 0.0000003618
0.0666666667 16.4219061099 16.5965695185 16.4228710833 16.4219061813 0.1746634086 0.0009649734 0.0000000715
0.0500000000 16.4219061099 16.5527227382 16.4224489118 16.4219061325 0.1308166283 0.0005428020 0.0000000226
0.0400000000 16.4219061099 16.5264725655 16.4222535044 16.4219061191 0.1045664557 0.0003473946 0.0000000093
0.0333333333 16.4219061099 16.5089965742 16.4221473566 16.4219061143 0.0870904643 0.0002412467 0.0000000045
0.0285714286 16.4219061099 16.4965255391 16.4220833526 16.4219061123 0.0746194292 0.0001772427 0.0000000024
0.0250000000 16.4219061099 16.4871787246 16.4220418114 16.4219061113 0.0652726147 0.0001357015 0.0000000014
0.0222222222 16.4219061099 16.4799128093 16.4220133309 16.4219061108 0.0580066994 0.0001072210 0.0000000009
0.0200000000 16.4219061099 16.4741024895 16.4219929589 16.4219061105 0.0521963796 0.0000868491 0.0000000006
